teamID,spbo,match
12 de Octubre,12 De Octubre,1
1860 Munchen,TSV 1860 Munchen,2
1FC Koln,Koln,2
1FC Koln B,Koln II,2
3 de Febrero,3 de Febrero,0
AA Gent,Gent,2
AaB Aalborg,Aalborg,2
Aachen,Aachen,0
Aalen,Vfr Aalen,2
Aalesund,Aalesund,0
Aarau,Aarau,0
AB Copenhagen,AB Kobenhavn,2
ABC Natal,ABC Natal/RN,2
Aberdeen,Aberdeen,0
AC Kajaani,AC Kajaani,0
AC Milan,AC Milan,0
AC Oulu,AC Oulu,0
Academia Chisinau,Academia UTM,2
Academica,Academica Coimbra,2
Academico Viseu,Academico Viseu,0
Accrington Stanley,Accrington Stanley,0
Achilles 1929,Achilles,2
ACS Poli Timisoara,ACS Poli Timisoara,0
Adana Demirspor,Adanademirspor,2
Adanaspor,Adanaspor,0
Adelaide United,Adelaide United,0
Admira Wacker,Admira,2
AEK Athens,AEK Athens,0
AEK Larnaka,AEK Larnaca,2
AEL Lemesos,AEL Limassol,2
AFC United,AFC United,0
AFC Wimbledon,AFC Wimbledon,0
AGF Aarhus,Aarhus,2
AGOVV Apeldoorn,AGOVV Apeldoorn,0
Aguilas Doradas,Aguilas Doradas,0
AIK,Aabenraa BK,2
Airdrie United,AIK Solna,2
AJ Auxerre,Auxerre,2
Ajaccio,Ajaccio,0
Ajax,Ajax,0
Akhisar,Akhisar Belediyespor,2
Akropolis,Akropolis IF,2
Aktobe Lento,Aktobe,2
Alajuelense,LD Alajuelense,2
Alanyaspor,Alanyaspor,0
Alashkert,Alashkert,0
Alaves,Alaves,0
Albacete,Albacete,0
Albania,Albania,0
Albania U21,Albania U21,0
Albinoleffe,Albinoleffe,0
Albion Rovers,Albion Rovers,0
Albirex Niigata,Albirex Niigata,0
Alcorcon,Alcorcon,0
Alcoyano,CD Alcoyano,2
Aldershot,Aldershot,0
Aldosivi,Aldosivi,0
Alebrijes Oaxaca,Oaxaca,2
Alfreton,Alfreton Town,2
Algard,Algard,0
Algeria,Algeria,0
Alianza Lima,Alianza Lima,0
Alianza Petrolera,Alianza Petrolera,0
All Boys,All Boys,0
Alloa,Alloa,0
Almere City,Almere City,0
Almeria,Almeria,0
Almte Brown,Almirante Brown,2
Alta,Alta,0
Altach,Altach,0
Altinordu,Altinordu,0
Altrincham,Altrincham,0
America,Club America,2
America MG,America Mineiro,2
America Natal,America Natal/RN,2
Amiens,Amiens,0
Amkar Perm,Amkar Perm,0
Anderlecht,Anderlecht,0
Andorra,Andorra,0
Angelholms,Angelholms,0
Angers,Angers,0
Angola,Angola,0
Ankaragucu,Ankaragucu,0
Annan,Annan Athletic,2
Antalyaspor,Antalyaspor,0
Antofagasta,Antofagasta,0
Antwerp,Antwerpen,2
Anzhi Makhachkala,Anzhi,2
Anzoategui,Anzoategui,0
APOEL Nicosia,APOEL,2
Apollon Lemesos,Apollon Limassol,2
Apollon Smyrnis,Apollon Smirnis,2
Ararat Yerevan,Ararat,2
Arbroath,Arbroath,0
Argentina,Argentina,0
Argentinos Juniors,Argentinos juniors,1
Aris Saloniki,Aris Salonika,2
Arka Gdynia,Arka Gdynia,0
Arles,AC Arles,2
Armenia,Armenia,0
Armenia U21,Armenia U21,0
Arminia Bielefeld,Arminia Bielefeld,0
Arouca,Arouca,0
Arsenal,Arsenal,0
Arsenal Kyiv,Arsenal Kyiv,0
Arsenal Reserves,Arsenal Reserve,2
Arsenal Sarandi,Arsenal de Sarandi,2
Arsenal Tula,Arsenal Tula,0
AS Trencin,Trencin,2
ASA Aripiraca,ASA/AL,2
ASA Targu Mures,Gaz Metan Targu Mures,2
Asane,Asane Fotball,2
Ascoli,Ascoli,0
ASK Olympiakos Volos,ASK Olympiakos Volou,2
Asker,Asker,0
Assyriska,Assyriska,0
Asteras Tripolis,Asteras Tripolis,0
Aston Villa,Aston Villa,0
Astoria Walldorf,Astoria Walldorf,0
Astra Giurgiu,Astra Giurgiu,0
Atalanta,Atalanta,0
Athletic Bilbao,Bilbao,2
Athlone Town,Athlone Town,0
Atlantas,Atlantas,0
Atlante,Atlante,0
Atlas,Atlas,0
Atletico CP,Atletico Clube Purtugal,2
Atletico Goianiense,Atletico Goianiense,0
Atletico Madrid,Atletico Madrid,0
Atletico Mineiro,Atletico Mineiro,0
Atletico Nacional,Atletico Nacional,0
Atletico Paranaense,Atletico Paranaense,0
Atletico Pro Piacenza,Pro Piacenza,2
Atletico Rafaela,Atletico Rafaela,0
Atletico Tucuman,Atletico Tucuman,0
Atromitos Athens,Atromitos,2
Atvidaberg,Atvidaberg,0
Atyrau,FK Atyrau,2
Audax Italiano,Audax Italiano,0
Augsburg,Augsburg,0
Australia,Australia,0
Austria,Austria,0
Austria Lustenau,Austria Lustenau,0
Austria Wien,Austria Wien,0
Autonoma,Universidad Autonoma,2
Avai Florianopolis,Avai/SC,2
Avellino,Avellino,0
Avispa Fukuoka,Avispa Fukuoka,0
Ayr United,Ayr United,0
AZ Alkmaar,AZ Alkmaar,0
AZAL PFC Baku,AZAL PFK Baku,2
Azerbaijan,Azerbaijan,0
Babelsberg,SV Babelsberg 03,2
Baerum,Baerum,0
Bahia,Bahia/BA,2
Bahrain,Bahrain,0
Baia Zugdidi,Baia Zugdidi,0
Balikesirspor,Balikesirspor,0
Banants,Banants,0
Banfield,Banfield,0
Banga Gargzdai,Banga Gargzdai,0
Banik Ostrava,Ostrava,2
Barcelona,Barcelona,0
Barcelona B,Barcelona B,0
Barcelona Guayaquil,Barcelona SC,2
Bari,Bari,0
Barnechea,Barnechea,0
Barnet,Barnet,0
Barnsley,Barnsley,0
Barrow,Barrow,0
Basel,Basel,0
Basingstoke,Basingstoke,0
Bastia,Bastia,0
BATE Borisov,BATE Borisov,0
Bath City,Bath City,0
Bayern Munich,Bayern Munchen,2
Bayern Munich B,Bayern Munchen II,2
Bayonne,Bayonne,0
Beerschot,Germinal Beerschot,2
Beijing Gouan,Beijing Guoan,2
Beira Mar,Beira Mar,0
Beitar Jerusalem,Beitar Jerusalem,0
Belarus,Belarus,0
Belarus U21,Belarus U21,0
Belchatow,Belchatow,0
Belen Siglo,Belen Siglo XXI,2
Belenenses,Belenenses,0
Belgium,Belgium,0
Belgium U21,Belgium U21,0
Belgrano Cordoba,Belgrano,2
Bellinzona,Bellinzona,0
Belshina,Belshina Babruisk,2
Benevento,Benevento,0
Benfica,Benfica,0
Benfica B,SL Benfica B,2
Beroe Stara Zagora,Beroe,2
Besiktas,Besiktas,0
Betim,Ipatinga/MG,2
Betis,Real Betis,2
BFC Daugavpils,BFC Daugavpils,0
Biel Bienne,Biel-Bienne,2
Birkirkara,Birkirkara,0
Birmingham,Birmingham City,2
Bishops Stortford,Bishops Stortford,0
Blackburn,Blackburn Rovers,2
Blackpool,Blackpool,0
Blackpool Reserves,Blackpool Reserve,2
Bnei Yehuda Tel Aviv,Bnei Yehuda Tel Aviv,0
Boa EC,Boa EC,0
Boavista,Boavista,0
Boca Juniors,Boca Juniors,0
Boca Unidos,Boca Unidos,0
Bochum,Bochum,0
